data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Vietnam,Con Dao,Côn Đảo Market,,,,,,https://www.google.com/maps/place/C%C3%B4n+%C4%90%E1%BA%A3o+Market/data=!4m7!3m6!1s0x3198a9208c48ea7d:0x2f02311008a28286!8m2!3d8.6861673!4d106.6092367!16s%2Fg%2F11b6g9w5c_!19sChIJfepIjCCpmDERhoKiCBAxAi8?authuser=0&hl=ko&rclk=1,3097,4.1
2,Vietnam,Con Dao,Van Son Pagoda,,,,,,https://www.google.com/maps/place/Van+Son+Pagoda/data=!4m7!3m6!1s0x3198a8ef9b749c25:0x4a84efd9db349e09!8m2!3d8.6742148!4d106.5960503!16s%2Fg%2F1tvrx62h!19sChIJJZx0m--omDERCZ4029nvhEo?authuser=0&hl=ko&rclk=1,2250,4.6
3,Vietnam,Con Dao,Bảo Tàng Côn Đảo,,,,,,https://www.google.com/maps/place/B%E1%BA%A3o+T%C3%A0ng+C%C3%B4n+%C4%90%E1%BA%A3o/data=!4m7!3m6!1s0x3198a92703a188d3:0xa6eb5547f241a3a2!8m2!3d8.6873194!4d106.6137532!16s%2Fg%2F1ttp7t3v!19sChIJ04ihAyepmDERoqNB8kdV66Y?authuser=0&hl=ko&rclk=1,1920,4.5
4,Vietnam,Con Dao,Côn Đảo Prison,,,과거 프랑스 식민지배 시대에 지은 감옥으로 베트남 전쟁 당시 고문소로 쓰였으며 지금은 전쟁 박물관으로 사용됩니다.,,,https://www.google.com/maps/place/C%C3%B4n+%C4%90%E1%BA%A3o+Prison/data=!4m7!3m6!1s0x3198a9266222ed9b:0xfb2d5b5bbbdef724!8m2!3d8.689295!4d106.6145118!16s%2Fm%2F0ll4l53!19sChIJm-0iYiapmDERJPfeu1tbLfs?authuser=0&hl=ko&rclk=1,1823,4.7
5,Vietnam,Con Dao,Bãi Đầm Trầu,,,,,,https://www.google.com/maps/place/B%C3%A3i+%C4%90%E1%BA%A7m+Tr%E1%BA%A7u/data=!4m7!3m6!1s0x3198abfbe814254b:0xecb8af209c575a98!8m2!3d8.7339834!4d106.6233518!16s%2Fg%2F12hsxqbj3!19sChIJSyUU6PurmDERmFpXnCCvuOw?authuser=0&hl=ko&rclk=1,1195,4.3
6,Vietnam,Con Dao,Con Dao Airport,,,,,,https://www.google.com/maps/place/Con+Dao+Airport/data=!4m7!3m6!1s0x3198ac012cc978ab:0x69b319e69a5cf31a!8m2!3d8.7312551!4d106.6286686!16zL20vMDhxYmhf!19sChIJq3jJLAGsmDERGvNcmuYZs2k?authuser=0&hl=ko&rclk=1,942,4.2
7,Vietnam,Con Dao,Island Chief Palace,,,,,,https://www.google.com/maps/place/Island+Chief+Palace/data=!4m7!3m6!1s0x3198a8dfab6c9de3:0x8cbb3203fc4cbfe3!8m2!3d8.6828892!4d106.6083586!16s%2Fg%2F1tdggrmb!19sChIJ451sq9-omDER479M_AMyu4w?authuser=0&hl=ko&rclk=1,903,4.3
8,Vietnam,Con Dao,식스 센스 콘 다오,,,,,,https://www.google.com/maps/place/%EC%8B%9D%EC%8A%A4+%EC%84%BC%EC%8A%A4+%EC%BD%98+%EB%8B%A4%EC%98%A4/data=!4m10!3m9!1s0x31756ff282ee20bf:0xceb6750d4a983bc5!5m2!4m1!1i2!8m2!3d8.7009522!4d106.6338684!16s%2Fg%2F1tdc7926!19sChIJvyDugvJvdTERxTuYSg11ts4?authuser=0&hl=ko&rclk=1,633,4.7
9,Vietnam,Con Dao,꼰다오 제도,,,페리와 국내선 비행기를 타고 들어갈 수 있는 꼰다오 제도의 가장 큰 섬으로 옛 감옥 건물과 해변이 있습니다.,,,https://www.google.com/maps/place/%EA%BC%B0%EB%8B%A4%EC%98%A4+%EC%A0%9C%EB%8F%84/data=!4m7!3m6!1s0x3198a9186b2f6e91:0xe0a6ec6a3d538a81!8m2!3d8.7009282!4d106.6114474!16zL20vMDVzaDBw!19sChIJkW4vaxipmDERgYpTPWrspuA?authuser=0&hl=ko&rclk=1,618,4.6
10,Vietnam,Con Dao,꼰선섬,,,,,,https://www.google.com/maps/place/%EA%BC%B0%EC%84%A0%EC%84%AC/data=!4m7!3m6!1s0x3198ac1d7ff747d1:0xfe70abdd479846!8m2!3d8.7009282!4d106.6114474!16zL20vMDZscmZt!19sChIJ0Uf3fx2smDERRphH3atw_gA?authuser=0&hl=ko&rclk=1,491,4.6
